timeOpen,trend
2023-08-03,29228.252631487518
2023-08-04,29218.045260515784
2023-08-05,29224.43194828274
2023-08-06,29242.044813424873
2023-08-07,29264.04070030023
2023-08-08,29289.631944944176
2023-08-09,29320.950473310182
2023-08-10,29356.34552527988
2023-08-11,29384.88398620271
2023-08-12,29383.7131197356
2023-08-13,29334.520933148295
2023-08-14,29221.688273430616
2023-08-15,28962.18219838958
2023-08-16,28523.881326951392
2023-08-17,28113.650268712885
2023-08-18,27775.289214995646
2023-08-19,27450.652193948266
2023-08-20,27078.761930496057
2023-08-21,26661.16663776265
2023-08-22,26332.594021598474
2023-08-23,26180.851168093355
2023-08-24,26144.458363347832
2023-08-25,26130.978129253243
2023-08-26,26116.698341503903
2023-08-27,26093.447553866685
2023-08-28,26058.927093297953
2023-08-29,26022.67470867553
2023-08-30,25991.09316267618
2023-08-31,25965.81040938635
2023-09-01,25941.852172306957
2023-09-02,25914.51469265709
2023-09-03,25887.243673255718
2023-09-04,25875.25653336205
2023-09-05,25881.05409838399
2023-09-06,25886.593270093374
2023-09-07,25884.638958782092
2023-09-08,25880.25423329832
2023-09-09,25891.093819508027
2023-09-10,25930.276056291164
2023-09-11,25993.384174244573
2023-09-12,26065.61271133019
2023-09-13,26138.463038510912
2023-09-14,26218.712106633404
2023-09-15,26322.524173573653
2023-09-16,26447.518152731685
2023-09-17,26565.426090184406
2023-09-18,26646.35356945291
2023-09-19,26686.86369713264
2023-09-20,26693.35293228036
2023-09-21,26675.83854004918
2023-09-22,26642.534575011574
2023-09-23,26599.146542302544
2023-09-24,26558.847253346434
2023-09-25,26535.499824607406
2023-09-26,26542.682334847745
2023-09-27,26592.022378580165
2023-09-28,26682.483205114742
2023-09-29,26801.221474588965
2023-09-30,26941.738961489857
2023-10-01,27091.688129448274
2023-10-02,27240.87591629811
2023-10-03,27382.062618795822
2023-10-04,27504.91804971245
2023-10-05,27597.365118959948
2023-10-06,27650.01531599479
2023-10-07,27648.303445947433
2023-10-08,27564.036447197843
2023-10-09,27478.25516218847
2023-10-10,27390.636313293508
2023-10-11,27297.95803980701
2023-10-12,27197.535521976082
2023-10-13,27087.613402004878
