Youtuber,subscribers,video views,video count,category,started,username,Youtube Url,Audience Country,Avg. Likes,Avg. Comments,ID
Juan De Dios Pantoja,20900000,1601142353,175,Entertainment,2014,Juan De Dios Pantoja,http://youtube.com/channel/UCzoUWqjCbcfWFdOMvoep8FA,Mexico,286400.0,4600.0,UCzoUWqjCbcfWFdOMvoep8FA
Charlie Puth,20700000,8609202215,132,Music,2009,CharliesVlogs,http://youtube.com/channel/UCwppdrjsBPAZg5_cUwQjfMQ,United States,5800000.0,367600.0,UCwppdrjsBPAZg5_cUwQjfMQ
Jake Paul,20400000,7219140294,934,People & Blogs,2013,JakePaulProductions,http://youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA,United States,63600.0,5100.0,UCcgVECVN4OKV6DH1jLkqmcA
BuzzFeedVideo,20300000,17755714250,7347,People & Blogs,2011,BuzzFeedVideo,http://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA,United States,747.0,105.0,UCpko_-a4wgz2u_DgDgd9fqA
REACT,20100000,12940702514,3885,Entertainment,2007,TheFineBros,http://youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ,United States,5700.0,355.0,UCHEf6T_gVq4tlW5i91ESiWg
LazarBeam,20100000,8389982773,1258,Gaming,2015,LazarBeam,http://youtube.com/channel/UCw1SQ6QRRtfAhrN_cjkrOgA,United States,143500.0,5000.0,UCw1SQ6QRRtfAhrN_cjkrOgA
AuthenticGames,20100000,8852635760,4638,Gaming,2011,AuthenticGames,http://youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw,Brazil,3400.0,155.0,UCIPA6iWNaoetaa1T46RkzXw
Rotana,20000000,16480938259,8109,Music,2012,RotanaAudio,http://youtube.com/channel/UCNhqvQMXIgRfjAGmxQqdNRw,Saudi Arabia,2400.0,77.0,UCNhqvQMXIgRfjAGmxQqdNRw
SlivkiShow,20000000,4345234891,426,Entertainment,2012,SlivkiChanel,http://youtube.com/channel/UCU_yU4xGT9hrVFo6euH8LLw,Russia,167500.0,16600.0,UCU_yU4xGT9hrVFo6euH8LLw
Mnet K-POP,19800000,15394134862,29028,Entertainment,2006,Mnet,http://youtube.com/channel/UCbD8EppRX3ZwJSou-TVo90A,United States,1700.0,81.0,UCbD8EppRX3ZwJSou-TVo90A
Pencilmation,19800000,10849211839,1153,Film & Animation,2007,rossbollinger,http://youtube.com/channel/UCUAL--p3qAa27luR0IYbjZA,United States,5900.0,112.0,UCUAL--p3qAa27luR0IYbjZA
Marvel Entertainment,19500000,5098361752,7989,Entertainment,2005,MARVEL,http://youtube.com/channel/UCvC4D8onUfXzvjTOM-dBfEA,United States,13800.0,536.0,UCvC4D8onUfXzvjTOM-dBfEA
Noor Stars,19500000,2545886796,627,Comedy,2014,Noor Stars,http://youtube.com/channel/UChOPyo-uWLVi5uO53mSBX-w,Iraq,118200.0,6300.0,UChOPyo-uWLVi5uO53mSBX-w
GMA Public Affairs,19400000,11968987179,37390,Entertainment,2009,gmapublicaffairs,http://youtube.com/channel/UCj5RwDivLksanrNvkW0FB4w,Philippines,101.0,7.0,UCj5RwDivLksanrNvkW0FB4w
Gordon Ramsay,19300000,3631748240,1287,Entertainment,2006,gordonramsay,http://youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ,United States,4700.0,307.0,UCIEv3lZ_tNXHzL3ox-_uUGQ
Infinite,19200000,4383533818,1517,Entertainment,2014,Infinite,http://youtube.com/channel/UC_hSjGOO67A6gIDUcyuv_8A,United States,55700.0,5300.0,UC_hSjGOO67A6gIDUcyuv_8A
Robin Hood Gamer,19100000,9328209625,3750,Entertainment,2014,RobinHoodGamer1,http://youtube.com/channel/UCYtaoJSk9iIrFxx8eZB15ag,Brazil,77600.0,922.0,UCYtaoJSk9iIrFxx8eZB15ag
Fatos Desconhecidos,19100000,3252868093,5240,Entertainment,2013,fatosdesconhecidos,http://youtube.com/channel/UCbAiIkPobUFy71zlmwVw3jw,Brazil,15500.0,545.0,UCbAiIkPobUFy71zlmwVw3jw
Crafty Panda,19000000,5672497949,613,People & Blogs,2017,Crafty Panda,http://youtube.com/channel/UC03RvJoIhm_fMwlUpm9ZvFw,India,535.0,13.0,UC03RvJoIhm_fMwlUpm9ZvFw
DLS News,19000000,1946197106,3559,News & Politics,2017,DLS News,http://youtube.com/channel/UCw0ry7cLRUnq3Oaszlhgqfg,India,2300.0,179.0,UCw0ry7cLRUnq3Oaszlhgqfg
NBA,18900000,10791851871,42086,Sports,2005,NBA,http://youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,United States,3000.0,146.0,UCWJ2lWNubArHWmf3FIHbfcQ
Jimmy Kimmel Live,18800000,12472520905,6073,Entertainment,2006,JimmyKimmelLive,http://youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,United States,3800.0,289.0,UCa6vGFO9ty8v5KZJXQxdhaw
The ACE Family,18800000,4497282091,668,People & Blogs,2016,The ACE Family,http://youtube.com/channel/UCWwWOFsW68TqXE-HZLC3WIA,United States,46900.0,1700.0,UCWwWOFsW68TqXE-HZLC3WIA
Clash of Clans,18800000,3623586697,553,Gaming,2013,OfficialClashOfClans,http://youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg,United States,78200.0,2000.0,UCD1Em4q90ZUK2R5HKesszJg
Ninja Kidz TV,18700000,9145485770,267,Entertainment,2017,Ninja Kidz TV,http://youtube.com/channel/UCpZ88DWlKW0H_AYDaUZptcw,United States,18800.0,1300.0,UCpZ88DWlKW0H_AYDaUZptcw
Britain's Got Talent,18600000,10512530241,3735,Entertainment,2008,BritainsGotTalent09,http://youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,United Kingdom,1600.0,42.0,UCUtZaxDF3hD5VK4xRYFBePQ
Cardi B,18500000,7069624864,60,People & Blogs,2016,Cardi B,http://youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw,United States,28600.0,2700.0,UCxMAbVFmxKUVGAll0WVGpFw
Sonotek,18300000,7133240982,8169,Entertainment,2011,sonotekvideo,http://youtube.com/channel/UC3zVeAaoPEN1Tu25dW3G2Ig,India,543.0,33.0,UC3zVeAaoPEN1Tu25dW3G2Ig
MiawAug,18200000,5236302709,3287,Gaming,2014,MiawAug,http://youtube.com/channel/UC3J4Q1grz46bdJ7NJLd4DGw,Indonesia,39800.0,3100.0,UC3J4Q1grz46bdJ7NJLd4DGw
CookieSwirlC,18200000,20938593710,3571,Entertainment,2013,CookieSwirlC,http://youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g,United States,3800.0,619.0,UCelMeixAOTs2OQAAi9wU8-g
Unbox Therapy,18200000,4332532776,2053,Science & Technology,2010,Unbox Therapy,http://youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,United States,8400.0,1200.0,UCsTcErHg8oDvUnTzoqsYeNw
HiMan,18200000,2367699484,326,People & Blogs,2014,HiMan,http://youtube.com/channel/UCM44x9uWlx__9M9Y2IFhxzQ,Russia,166700.0,5200.0,UCM44x9uWlx__9M9Y2IFhxzQ
PDK Films,18100000,3910330714,108,Entertainment,2009,PDKFilms,http://youtube.com/channel/UC-F6LZSWz34xKknY8NNCzgQ,United States,35900.0,1100.0,UC-F6LZSWz34xKknY8NNCzgQ
GEN HALILINTAR,18100000,3178960318,969,Entertainment,2015,GEN HALILINTAR,http://youtube.com/channel/UCfRNJiafEm1LBBGFTTq4cXw,Indonesia,26400.0,226.0,UCfRNJiafEm1LBBGFTTq4cXw
ElTrollino,18000000,5486103239,1517,Entertainment,2013,ElTrollino,http://youtube.com/channel/UCI2FmVp--YL8d7iVFt8mmxg,Mexico,95600.0,2100.0,UCI2FmVp--YL8d7iVFt8mmxg
TheOdd1sOut,18000000,4023496321,113,Comedy,2014,TheOdd1sOut,http://youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,United States,404500.0,24100.0,UCo8bcnLyZH8tBIH9V1mLgqQ
Lele Pons,17800000,4958584356,154,Comedy,2015,Lele Pons,http://youtube.com/channel/UCi9cDo6239RAzPpBZO9y5SA,United States,2000.0,32.0,UCi9cDo6239RAzPpBZO9y5SA
Good Mythical Morning,17700000,8074270215,2980,Entertainment,2008,rhettandlink2,http://youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,United States,34200.0,1300.0,UC4PooiX37Pld1T8J5SYT-SQ
TheGrefg,17700000,6077820746,3332,Gaming,2012,TheGrefg,http://youtube.com/channel/UCCEmjNPpJYhGDgaEqeeA4HA,Spain,101600.0,1200.0,UCCEmjNPpJYhGDgaEqeeA4HA
Ali-A,17700000,5766028299,3920,Gaming,2006,Matroix,http://youtube.com/channel/UCYVinkwSX7szARULgYpvhLw,United States,23500.0,1300.0,UCYVinkwSX7szARULgYpvhLw
Познаватель,17600000,8522826642,476,Entertainment,2014,ThePoznavatel,http://youtube.com/channel/UCXTMoE1XgvxN4iCt5-gZzCw,Russia,57700.0,2600.0,UCXTMoE1XgvxN4iCt5-gZzCw
Sebastián Yatra,17400000,9316925082,196,News & Politics,2013,SebastianYatra,http://youtube.com/channel/UCssFxr-IdIa-wpG3jUXYrmw,Colombia,1300.0,19.0,UCssFxr-IdIa-wpG3jUXYrmw
officialpsy,17400000,9825292199,119,Music,2010,officialpsy,http://youtube.com/channel/UCrDkAvwZum-UTjHmzDI2iIw,United States,14400.0,566.0,UCrDkAvwZum-UTjHmzDI2iIw
Porta dos Fundos,17400000,7258838590,1960,Entertainment,2012,portadosfundos,http://youtube.com/channel/UCEWHPFNilsT0IfQfutVzsag,Brazil,78600.0,1500.0,UCEWHPFNilsT0IfQfutVzsag
TED-Ed,17300000,3287834094,1948,Education,2011,TEDEducation,http://youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,United States,15100.0,710.0,UCsooa4yRKGN_zEE8iknghZA
Willyrex,17200000,4808457361,6686,Gaming,2009,Willyrex,http://youtube.com/channel/UC8rNKrqBxJqL9izOOMxBJtw,Mexico,8900.0,118.0,UC8rNKrqBxJqL9izOOMxBJtw
RobleisIUTU,17200000,4680573231,1145,Entertainment,2013,RobleisIUTU,http://youtube.com/channel/UCG8eSYvOQUpb9HM8zU5d6xg,Argentina,55000.0,1100.0,UCG8eSYvOQUpb9HM8zU5d6xg
