Youtuber,subscribers,video views,video count,category,started
Gordon Ramsay,19300000,3631748240,1287,Entertainment,2006
Troom Troom Es,19200000,7139476227,2591,People & Blogs,2016
Gusttavo Lima Oficial,19200000,11815001366,335,Music,2010
Kinder Spielzeug Kanal,19200000,9413508600,699,Entertainment,2015
Infinite,19200000,4383533818,1517,Entertainment,2014
Deddy Corbuzier,19200000,4075368246,1132,Entertainment,2009
Robin Hood Gamer,19100000,9328209625,3750,Entertainment,2014
★ Kids Roma Show,19100000,6410853410,589,People & Blogs,2015
Fatos Desconhecidos,19100000,3252868093,5240,Entertainment,2013
JukiLop,19100000,1540403509,85,People & Blogs,2017
Crafty Panda,19000000,5672497949,613,People & Blogs,2017
Kurzgesagt – In a Nutshell,19000000,2052293685,161,Education,2013
DLS News,19000000,1946197106,3559,News & Politics,2017
NBA,18900000,10791851871,42086,Sports,2005
Jimmy Kimmel Live,18800000,12472520905,6073,Entertainment,2006
The ACE Family,18800000,4497282091,668,People & Blogs,2016
Clash of Clans,18800000,3623586697,553,Gaming,2013
Sun TV,18700000,13622998578,34648,People & Blogs,2016
Ninja Kidz TV,18700000,9145485770,267,Entertainment,2017
Netflix India,18700000,5228700571,2707,People & Blogs,2016
Beast Reacts,18700000,2528480817,215,People & Blogs,2016
Britain's Got Talent,18600000,10512530241,3735,Entertainment,2008
TRT Originals Urdu,18600000,7370103100,740,Entertainment,2020
Lil Nas X,18600000,5659051618,37,Music,2018
Calvin Harris,18500000,14886853329,76,Music,2007
Green Gold TV - Official Channel,18500000,8985315647,1090,Film & Animation,2011
TheWillyrex,18500000,6957319094,6798,Comedy,2011
Cardi B,18500000,7069624864,60,People & Blogs,2016
invictor,18500000,7050721828,2106,Gaming,2013
shakiraVEVO,18400000,22257341033,189,Music,2009
CKN,18300000,18786377776,814,Entertainment,2015
Official Pink Panther,18300000,9942133522,629,Film & Animation,2013
Sonotek,18300000,7133240982,8169,Entertainment,2011
MiawAug,18200000,5236302709,3287,Gaming,2014
KBS WORLD TV,18200000,13926619677,58485,Entertainment,2007
Turma da Mônica,18200000,13088159940,1094,Film & Animation,2012
CookieSwirlC,18200000,20938593710,3571,Entertainment,2013
David Dobrik,18200000,7087407988,536,People & Blogs,2014
Unbox Therapy,18200000,4332532776,2053,Science & Technology,2010
The Royalty Family,18200000,4490004408,633,People & Blogs,2017
A_S Gaming,18200000,2476464261,932,Gaming,2016
HiMan,18200000,2367699484,326,People & Blogs,2014
BabyBus - Cerita & Lagu Anak-anak,18100000,10232250581,672,Education,2019
Dan-Sa / Daniel Saboya,18100000,6165702828,2062,Music,2007
Vania Mania Kids,18100000,6908411472,825,People & Blogs,2015
PDK Films,18100000,3910330714,108,Entertainment,2009
GEN HALILINTAR,18100000,3178960318,969,Entertainment,2015
ElTrollino,18000000,5486103239,1517,Entertainment,2013
Мирошка ТВ,18000000,4603751673,84,Education,2018
TheOdd1sOut,18000000,4023496321,113,Comedy,2014
INCRÍVEL,18000000,3017467860,5682,People & Blogs,2017
Emiway Bantai,18000000,3038899728,201,Music,2013
Vsauce,18000000,2415927927,391,Science & Technology,2007
Farruko,17900000,8480000414,193,Music,2009
Diana and Roma EN,17900000,3868166958,424,People & Blogs,2011
ArianaGrandeVevo,17800000,19011269725,177,Music,2010
Like Nastya Vlog,17800000,7561933732,397,People & Blogs,2016
Demi Lovato,17800000,6495131112,282,Music,2008
Lele Pons,17800000,4958584356,154,Comedy,2015
Lil Pump,17800000,4091109829,59,Music,2015
Naisa Alifia Yuriza (N.A.Y),17800000,2521515641,1462,People & Blogs,2017
SCTV,17700000,8588329369,50080,Entertainment,2011
Good Mythical Morning,17700000,8074270215,2980,Entertainment,2008
TheGrefg,17700000,6077820746,3332,Gaming,2012
Ali-A,17700000,5766028299,3920,Gaming,2006
Marmok,17700000,3131925799,344,Gaming,2008
Mother Goose Club Playhouse,17600000,15500399390,1282,Shows,2009
RsiamMusic : อาร์สยาม,17600000,10952154122,2663,Music,2011
Little Angel Español - Canciones Infantiles,17600000,8525569510,580,Education,2018
Познаватель,17600000,8522826642,476,Entertainment,2014
JFlaMusic,17600000,3657526529,282,Music,2011
Village Cooking Channel,17600000,4477436881,211,Howto & Style,2018
FactTechz,17500000,2112929572,578,Entertainment,2016
Sebastián Yatra,17400000,9316925082,196,News & Politics,2013
officialpsy,17400000,9825292199,119,Music,2010
Porta dos Fundos,17400000,7258838590,1960,Entertainment,2012
Liza Koshy,17400000,2595554113,189,Comedy,2013
etvteluguindia,17300000,19465295267,111360,Entertainment,2010
Vijay Television,17300000,19901616359,27059,Entertainment,2007
TED-Ed,17300000,3287834094,1948,Education,2011
Stubborn Facts,17300000,827786482,217,Film & Animation,2016
PopularMMOs,17200000,14475783059,4686,Gaming,2012
SQUEEZIE,17200000,9258609822,1471,Gaming,2011
Masha e o Urso,17200000,7131816532,856,Shows,2016
Willyrex,17200000,4808457361,6686,Gaming,2009
RobleisIUTU,17200000,4680573231,1145,Entertainment,2013
EeOneGuy,17200000,3804413513,363,Entertainment,2013
LuisFonsiVEVO,17100000,14008585257,96,Music,2009
GRAMMY GOLD OFFICIAL,17100000,17974040182,5334,Music,2014
SUPER SLICK SLIME SAM,17100000,6078466417,741,Howto & Style,2018
HowToBasic,17100000,3561001854,563,Howto & Style,2011
李子柒 Liziqi,17100000,2801548472,128,Howto & Style,2017
Gaby and Alex,17000000,7942553236,351,Entertainment,2012
شبكة العاب العرب | Arab Games Network,17000000,7723277433,5515,Gaming,2013
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,17000000,6221383175,192,Education,2017
Rafa & Luiz,17000000,6273315738,2184,Entertainment,2015
Khan GS Research Centre,17000000,1670639781,347,Education,2019
हिंदी - Genevieve's Playhouse,16900000,9195178282,96,Education,2018
الـريماس - Al-Remas,16900000,10550888024,2047,Music,2013
Junya.じゅんや,16900000,9529205653,3150,Entertainment,2020
Guava Juice,16900000,8614218175,1754,Gaming,2006
Doggy Doggy Cartoons,16800000,6459285262,4723,Entertainment,2012
IGN,16800000,14633922961,149770,Gaming,2006
Jason Derulo,16800000,8808599101,451,Music,2008
Maya and Mary,16800000,6304251610,539,Entertainment,2013
DUDU e CAROL,16700000,6530946230,2874,Autos & Vehicles,2013
Anitta,16700000,6610175435,99,Music,2011
Werever2morro,16700000,2714071108,972,Entertainment,2007
Triggered Insaan,16700000,2657491028,265,Comedy,2014
7clouds,16600000,11637964945,1940,Music,2013
Tu COSMOPOLIS,16600000,4875900353,6796,People & Blogs,2014
DeToxoMoroxo,16600000,2212149791,488,Entertainment,2012
Sourav Joshi Vlogs,16500000,5970849535,1039,People & Blogs,2019
TheBrianMaps,16500000,4090289417,476,Comedy,2012
Manual do Mundo,16500000,3367572384,2117,Howto & Style,2006
SonyMusicSouthVEVO,16400000,15090557603,4304,Music,2014
zbing z.,16400000,8307904773,2763,Gaming,2014
Dhar Mann,16400000,8642459264,649,People & Blogs,2018
IDEAS EN 5 MINUTOS,16400000,3509049258,4658,Howto & Style,2017
W2S,16300000,4739609055,653,Gaming,2012
Shemaroo Comedy,16300000,4923411314,3467,Entertainment,2007
ExtraPolinesios,16300000,4696367446,480,People & Blogs,2012
Goldmines Great Indian Comedy,16300000,4238595667,2008,Film & Animation,2016
Prajapati News,16300000,907965523,1081,Comedy,2013
SOMOY TV,16200000,9476895180,124072,News & Politics,2015
Sony AATH,16200000,10718891416,14759,Shows,2013
Miley Cyrus,16200000,6235405830,124,Entertainment,2009
Sandra Cires Art,16200000,3702173328,953,Howto & Style,2011
tanboy kun,16200000,3020272233,582,People & Blogs,2016
Sidhu Moose Wala,16200000,4078330367,111,Music,2017
Blippi - Educational Videos for Kids,16100000,12991967769,453,Education,2014
Queen Official,16100000,9723539941,908,Music,2008
Travis Scott,16100000,7187033169,13,Music,2013
Les' Copaque Production,16100000,7954662776,1427,Film & Animation,2009
Zuni and Family,16100000,5830669187,176,People & Blogs,2017
Sidemen,16100000,4196033350,264,Entertainment,2015
The Game Theorists,16100000,3546490692,659,Gaming,2009
Antrax,16100000,2949891202,654,Gaming,2015
Canal IN,16100000,2573050059,723,People & Blogs,2017
Dushyant kukreja,16000000,11095340736,571,Entertainment,2015
TRANS TV Official,16000000,8780937851,123467,Entertainment,2014
Little Mix,16000000,7047968268,278,Music,2011
RKD Studios,16000000,4133234619,622,Entertainment,2014
FailArmy,16000000,2041620563,337,Comedy,2011
El Reino a Jugar,15900000,10175537321,872,Education,2015
DopeLyrics,15900000,9803533121,1937,Music,2016
Boyce Avenue,15900000,6230190520,438,Music,2007
Camila Cabello,15900000,6086165889,61,Music,2015
VICE,15900000,4174962442,3694,Entertainment,2005
Kaykai Salaider,15900000,4248704474,399,Comedy,2011
Fede Vigevani,15900000,4745414554,865,Howto & Style,2009
Marques Brownlee,15900000,3082486680,1454,Science & Technology,2008
jeffreestar,15900000,2575183135,428,Howto & Style,2006
Apple,15900000,808136104,205,Science & Technology,2005
Kids Play,15800000,7713981883,545,Entertainment,2018
